1	0.5775353514	0.5844254143	0.5850383988	0.9229136281	0.5584450258	0.5643001333	0.5761844645	0.9287223894	0.5482763516	0.5591245665	0.5951482056
0.5775353514	1	0.5795981367	0.5986420859	0.5616483001	0.9383440246	0.5376022049	0.6123771101	0.5658643601	0.9092508783	0.5617085173	0.6278471615
0.5844254143	0.5795981367	1	0.6017374601	0.5733456988	0.5851891873	0.9165538532	0.6006871303	0.5647394092	0.5487729837	0.924834659	0.6116335397
0.5850383988	0.5986420859	0.6017374601	1	0.5646000712	0.5777772695	0.5602773743	0.9097917772	0.5595566376	0.5369685213	0.5695756308	0.9476577227
0.9229136281	0.5616483001	0.5733456988	0.5646000712	1	0.5824962677	0.5964275723	0.6110315655	0.924610003	0.5481950963	0.5519626689	0.6012838329
0.5584450258	0.9383440246	0.5851891873	0.5777772695	0.5824962677	1	0.5918491519	0.6452547173	0.5759594195	0.916408456	0.5906576205	0.6443577358
0.5643001333	0.5376022049	0.9165538532	0.5602773743	0.5964275723	0.5918491519	1	0.6149330862	0.5705233852	0.5262814242	0.908071007	0.5968312816
0.5761844645	0.6123771101	0.6006871303	0.9097917772	0.6110315655	0.6452547173	0.6149330862	1	0.580514563	0.5771566151	0.6011045163	0.9588765699
0.9287223894	0.5658643601	0.5647394092	0.5595566376	0.924610003	0.5759594195	0.5705233852	0.580514563	1	0.5993454778	0.5889302454	0.6036055446
0.5482763516	0.9092508783	0.5487729837	0.5369685213	0.5481950963	0.916408456	0.5262814242	0.5771566151	0.5993454778	1	0.5904018439	0.6001172558
0.5591245665	0.5617085173	0.924834659	0.5695756308	0.5519626689	0.5906576205	0.908071007	0.6011045163	0.5889302454	0.5904018439	1	0.6101926977
0.5951482056	0.6278471615	0.6116335397	0.9476577227	0.6012838329	0.6443577358	0.5968312816	0.9588765699	0.6036055446	0.6001172558	0.6101926977	1
